# Gaia_G_Mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-53.4684548779 3.75382822809 1.15683498745 -0.049529966857 -0.620576667874 -0.911528455614 -0.832336201643 4000.0 4.5 -0 0.3
-53.0973123525 3.86898570328 1.20678928023 -0.0382381713227 -0.633943055644 -0.939847175085 -0.869517137071 4000.0 4.5 -0 0.6
-52.9737371404 3.90738454591 1.22352829437 -0.0343533170211 -0.638266950054 -0.949150698328 -0.881773217363 4000.0 4.5 -0 0.7
-52.7267921146 3.98419150434 1.25713509067 -0.0264052201919 -0.646720419827 -0.967556715213 -0.906082064332 4000.0 4.5 -0 0.9
-53.8901582038 3.48174491353 1.07149264367 -0.0912314661734 -0.587249783893 -0.83266252991 -0.738677891295 4000.0 4.5 -0.5 0.0
-53.7659199865 3.52023939231 1.08769738436 -0.0879872945413 -0.592153271855 -0.842618463783 -0.751591947259 4000.0 4.5 -0.5 0.1
-53.6417537769 3.55875029591 1.10394849288 -0.0846802104729 -0.596988525922 -0.852503851101 -0.764434715467 4000.0 4.5 -0.5 0.2
-53.5176590634 3.59727625407 1.12024553901 -0.0813107156228 -0.601756056858 -0.862319204993 -0.777206709006 4000.0 4.5 -0.5 0.3
-53.393635338 3.63581587493 1.13658808702 -0.0778793073556 -0.606456373663 -0.872065031028 -0.789908433117 4000.0 4.5 -0.5 0.4
-53.2696820963 3.67436772095 1.15297570529 -0.0743864860786 -0.611089977611 -0.881741829953 -0.802540387397 4000.0 4.5 -0.5 0.5
-53.1457988334 3.71293032916 1.1694079685 -0.0708327436611 -0.615657370851 -0.891350109117 -0.81510307178 4000.0 4.5 -0.5 0.6
-52.7745639322 3.82866749573 1.2189683801 -0.05981088777 -0.628967256954 -0.919768791626 -0.852380471832 4000.0 4.5 -0.5 0.9
-53.9092193268 3.31750527984 1.03530598843 -0.0948039200361 -0.576949492792 -0.814324788904 -0.719179887835 4000.0 4.5 -1.0 0.0
-53.7848400876 3.3560205271 1.05139622057 -0.0917175808442 -0.581969676877 -0.824421308481 -0.732235323336 4000.0 4.5 -1.0 0.1
-53.6605340151 3.39455669221 1.06753389655 -0.08856720508 -0.586920507402 -0.834446125853 -0.745218324193 4000.0 4.5 -1.0 0.2
-53.5363005845 3.43311253045 1.0837185713 -0.0853533079532 -0.591802500852 -0.844399762797 -0.7581294085 4000.0 4.5 -1.0 0.3
-53.4121392785 3.47168676814 1.0999498039 -0.0820763945535 -0.59661617956 -0.854282736148 -0.770969092247 4000.0 4.5 -1.0 0.4
-53.1640309784 3.54888522113 1.13255019791 -0.0753355572837 -0.606040637599 -0.873838749456 -0.796436305506 4000.0 4.5 -1.0 0.6
-53.0400829603 3.58750675077 1.1489184885 -0.0718726360888 -0.610652439586 -0.883512809901 -0.809064852925 4000.0 4.5 -1.0 0.7
-52.9162050186 3.62614129676 1.16533160301 -0.0683487159047 -0.615197962433 -0.893118249862 -0.821624032879 4000.0 4.5 -1.0 0.8
-53.7865408893 3.22743171311 1.02149926296 -0.087380949761 -0.575524808679 -0.818875636847 -0.726863114582 4000.0 4.5 -1.5 0.1
-53.6621445369 3.26588342726 1.03758315593 -0.084325068384 -0.580560223429 -0.828990680214 -0.739936950909 4000.0 4.5 -1.5 0.2
-53.5378220748 3.30435907437 1.05371507467 -0.0812044413889 -0.585525569113 -0.839033300465 -0.752937630553 4000.0 4.5 -1.5 0.3
-53.4135729662 3.34285746603 1.06989456497 -0.0780195902063 -0.590421383177 -0.849004025767 -0.765865685689 4000.0 4.5 -1.5 0.4
-53.2893966798 3.38137739121 1.08612117742 -0.0747710385741 -0.595248188853 -0.858903391185 -0.778721638914 4000.0 4.5 -1.5 0.5
-53.0412604713 3.45847685605 1.11871398434 -0.0680849013452 -0.604696885547 -0.878490134545 -0.804219344556 4000.0 4.5 -1.5 0.7
-52.9172995014 3.49705383808 1.13507929294 -0.0646483444349 -0.609319817692 -0.888178558103 -0.816862137091 4000.0 4.5 -1.5 0.8
-52.7934092621 3.53564722671 1.15148995555 -0.0611501405169 -0.61387583269 -0.89779770517 -0.829434909203 4000.0 4.5 -1.5 0.9
-53.6269644665 3.6553148422 1.14531045535 -0.0549609910795 -0.618113134804 -0.898844298442 -0.813497878464 4000.0 5.0 -0 0.2
-53.37933702 3.73236462607 1.17844669954 -0.0476230650677 -0.627200783681 -0.917916180266 -0.838479842602 4000.0 5.0 -0 0.4
-53.2556284203 3.77090477295 1.19508125747 -0.0438625242995 -0.631645036901 -0.927349184856 -0.850866760194 4000.0 5.0 -0 0.5
-53.131989218 3.80945299522 1.21175952336 -0.0400416048297 -0.636023589602 -0.936714250196 -0.863184980569 4000.0 5.0 -0 0.6
-53.0084189032 3.84800767 1.22848106051 -0.0361608040598 -0.640336951602 -0.946011884761 -0.875435012176 4000.0 5.0 -0 0.7
-52.8849169695 3.88656713136 1.24524544293 -0.0322206237952 -0.644585626342 -0.955242592666 -0.88761735786 4000.0 5.0 -0 0.8
